order_id,customer_id,customer_name,restaurant_name,food_item,food_category,quantity,unit_price,total_amount,order_date,order_time,delivery_time_minutes,city,customer_rating,payment_method,delivery_status
1,1201,Rahul Sharma,Pizza Hut,Veg Pizza,Pizza,2,250.0,500.0,2025-08-01,18:30:00,35,Mumbai,4.5,UPI,Delivered
2,1202,Priya Patil,Dominos,Farmhouse Pizza,Pizza,1,450.0,450.0,2025-08-02,19:15:00,28,Pune,4.8,Card,Delivered
3,1203,Amit Jadhav,KFC,Chicken Bucket,Fast Food,1,650.0,650.0,2025-08-03,20:10:00,42,Nashik,4.2,Cash,Delivered
4,1204,Sneha More,McDonalds,French Fries,Snacks,3,90.0,270.0,2025-08-04,17:45:00,22,Nagpur,4.1,UPI,Delivered
5,1205,Rohan Patil,Subway,Paneer Sandwich,Healthy,2,230.0,460.0,2025-08-05,13:20:00,24,Thane,4.6,Card,Delivered
6,1206, Rahul Sharma ,Pizza Hut,Veg Pizza,Pizza,2,250.0,500.0,2025-08-06,18:35:00,34,Mumbai,4.5,UPI,Delivered
7,1207,Kiran Shah,Burger King,Veg Burger,Burger,2,180.0,360.0,2025-08-07,15:30:00,27,Mumbai,4.0,Cash,Delivered
8,1208,Neha Patil,Pizza Hut,Paneer Pizza,Pizza,1,320.0,320.0,2025-08-08,18:20:00,36,Pune,4.7,UPI,Delivered
9,1209,Sagar More,KFC,Chicken Wings,Fast Food,2,280.0,560.0,2025-08-09,19:40:00,38,Nashik,4.4,Card,Delivered
10,1210,Pooja Kale,Dominos,Peppy Paneer,Pizza,1,390.0,390.0,2025-08-10,20:00:00,29,Nagpur,4.6,UPI,Delivered
11,1211,Ajay Patil,Subway,Veg Sandwich,Healthy,2,220.0,440.0,2025-08-11,13:10:00,23,Thane,4.4747916666666665,Cash,Delivered
12,1212,Megha Shah,McDonalds,McVeggie,Burger,3,125.0,375.0,2025-08-12,16:20:00,21,Mumbai,4.2,UPI,Delivered
13,1213,Omkar More,Burger King,Whopper,Burger,1,275.0,275.0,2025-08-13,18:15:00,31,Pune,4.5,Card,Delivered
14,1214,Rutuja Patil,Pizza Hut,Cheese Pizza,Pizza,2,310.0,620.0,2025-08-14,19:25:00,35,Nashik,4.8,Cash,Delivered
15,1215,Nilesh Shah,KFC,Chicken Popcorn,Fast Food,3,205.0,615.0,2025-08-15,20:15:00,36,Nagpur,4.3,UPI,Delivered
16,1216,Anjali More,Dominos,Mexican Green Wave,Pizza,1,430.0,430.0,2025-08-16,21:05:00,28,mumbai,4.7,Card,Delivered
17,1217,Kunal Patil,Subway,Paneer Tikka Sandwich,Healthy,2,255.0,510.0,2025-08-17,13:30:00,24,Thane,4.6,UPI,Delivered
18,1218,Snehal Shah,Burger King,Cheese Burger,Burger,2,190.0,380.0,2025-08-18,15:45:00,28,Mumbai,4.1,Cash,Delivered
19,1219,Akash More,Pizza Hut,Veg Feast Pizza,Pizza,2,360.0,720.0,2025-08-19,18:40:00,34,Pune,4.8,UPI,Delivered
20,1220,Komal Patil,KFC,Chicken Burger,Burger,2,250.0,500.0,2025-08-20,19:50:00,32,Nashik,4.4,Card,Delivered
21,1221,Priyanka Shah,McDonalds,French Fries,Snacks,4,85.0,340.0,2025-08-21,17:00:00,20,Nagpur,4.0,Unknown,Delivered
22,1222,Harshal More,Dominos,Veg Extravaganza,Pizza,1,480.0,480.0,2025-08-22,20:20:00,29,Thane,4.7,UPI,Delivered
23,1223,Monika Patil,Subway,Corn Sandwich,Healthy,2,215.0,430.0,2025-08-23,13:15:00,23,Mumbai,4.5,Card,Delivered
24,1224,Vivek Shah,Burger King,King Burger,Burger,1,300.0,300.0,2025-08-24,15:20:00,30,Pune,4.3,Cash,Delivered
25,1225,Deepali More,Pizza Hut,Margherita Pizza,Pizza,2,290.0,580.0,2025-08-25,18:35:00,33,Nashik,4.6,UPI,Delivered
26,1226,Rahul Sharma,Pizza Hut,Veg Pizza,Pizza,2,250.0,500.0,2025-08-01,18:30:00,35,Mumbai,4.5,UPI,Delivered
27,1227,Sachin Patil,KFC,Hot Wings,Fast Food,2,290.0,580.0,2025-08-26,19:45:00,37,Nagpur,4.4,Card,Delivered
28,1228,Bhakti Shah,Dominos,Cheese Burst Pizza,Pizza,1,510.0,510.0,2025-08-27,20:25:00,28,Thane,4.9,UPI,Delivered
29,1229,Aniket More,Subway,Veggie Delight,Healthy,2,235.0,470.0,2025-08-28,13:25:00,24,Mumbai,4.3,Cash,Delivered
30,1230,Rohini Patil,Burger King,Veg Whopper,Burger,1,245.0,245.0,2025-08-29,15:50:00,27,Pune,4.2,Card,Delivered
31,1231,Gaurav Shah,Pizza Hut,Loaded Veg Pizza,Pizza,2,405.0,810.0,2025-08-30,18:45:00,36,Nashik,4.8,UPI,Delivered
32,1232,Pallavi More,KFC,Chicken Strips,Fast Food,2,245.0,490.0,2025-08-31,19:35:00,35,Nagpur,4.3,Cash,Delivered
33,1233,Yash Patil,Dominos,Paneer Makhani Pizza,Pizza,1,420.0,420.0,2025-09-01,20:10:00,29,Thane,4.7,Card,Delivered
34,1234,Reshma Shah,McDonalds,McChicken,Burger,2,220.0,440.0,2025-09-02,16:30:00,22,Mumbai,4.5,UPI,Delivered
35,1235,Tejas More,Subway,Cheese Sandwich,Healthy,2,240.0,480.0,2025-09-03,13:40:00,24,Pune,4.4,Cash,Delivered
36,1236,Aarti Patil,Pizza Hut,Paneer Pizza,Pizza,1,340.0,340.0,2025-09-04,18:20:00,35,MUMBAI,4.6,Card,Delivered
37,1237,Manish Shah,KFC,Chicken Bucket,Fast Food,1,730.0,730.0,2025-09-05,20:20:00,42,Nashik,4.6,UPI,Delivered
38,1238,Vaibhavi More,Dominos,Deluxe Veggie Pizza,Pizza,1,455.0,455.0,2025-09-06,19:05:00,28,Nagpur,4.8,Cash,Delivered
39,1239,Rajesh Patil,Burger King,Crispy Veg Burger,Burger,2,190.0,380.0,2025-09-07,15:30:00,27,Thane,4.1,Card,Delivered
40,1240,Sneha Shah,Subway,Paneer Sandwich,Healthy,2,245.0,490.0,2025-09-08,13:35:00,24,Mumbai,4.5,UPI,Delivered
41,1241,Omkar Patil,Pizza Hut,Cheese Pizza,Pizza,2,325.0,650.0,2025-09-09,18:50:00,34,Pune,4.4747916666666665,Cash,Delivered
42,1242,Nikita More,KFC,Chicken Popcorn,Fast Food,3,220.0,660.0,2025-09-10,19:50:00,36,Nashik,4.4,Card,Delivered
43,1243,Rakesh Shah,Dominos,Farmhouse Pizza,Pizza,1,450.0,450.0,2025-09-11,20:15:00,29,Nagpur,4.6,UPI,Delivered
44,1244,Megha Patil,McDonalds,McVeggie,Burger,3,130.0,390.0,2025-09-12,17:10:00,21,Thane,4.2,Cash,Delivered
45,1245,Abhishek More,Subway,Veg Sandwich,Healthy,2,225.0,450.0,2025-09-13,13:15:00,23,Mumbai,4.3,Card,Delivered
46,1246,Kajal Shah,Burger King,Whopper,Burger,1,280.0,280.0,2025-09-14,15:45:00,30,Pune,4.6,UPI,Delivered
47,1247,Pratik Patil,Pizza Hut,Veggie Paradise Pizza,Pizza,2,370.0,740.0,2025-09-15,18:40:00,35,Nashik,4.8,Cash,Delivered
48,1248,Rutuja More,KFC,Hot Crispy Chicken,Fast Food,2,320.0,640.0,2025-09-16,19:55:00,39,Nagpur,4.5,Card,Delivered
49,1249,Sanket Shah,Dominos,Cheese n Corn Pizza,Pizza,1,370.0,370.0,2025-09-17,20:25:00,28,Thane,4.5,UPI,Delivered
50,1250,Pooja Patil,McDonalds,French Fries,Snacks,4,90.0,360.0,2025-09-18,17:20:00,20,Mumbai,4.1,Cash,Delivered
51,1251,Rahul Patil,Pizza Hut,Veg Pizza,Pizza,2,260.0,520.0,2025-09-19,18:20:00,34,Mumbai,4.5,UPI,Delivered
52,1252,Sneha More,Dominos,Farmhouse Pizza,Pizza,1,460.0,460.0,2025-09-20,19:10:00,28,Pune,4.8,Card,Delivered
53,1253,Amit Shah,KFC,Chicken Bucket,Fast Food,1,670.0,670.0,2025-09-21,20:15:00,41,Nashik,4.3,Cash,Delivered
54,1254,Pooja Patil,McDonalds,French Fries,Snacks,3,95.0,285.0,2025-09-22,17:30:00,21,Nagpur,4.1,UPI,Delivered
55,1255,Rohan More,Subway,Paneer Sandwich,Healthy,2,240.0,480.0,2025-09-23,13:35:00,24,Thane,4.6,Card,Delivered
56,1256, Rahul Patil ,Pizza Hut,Veg Pizza,Pizza,2,260.0,520.0,2025-09-24,18:25:00,35,Mumbai,4.5,UPI,Delivered
57,1257,Kiran Jadhav,Burger King,Veg Burger,Burger,2,185.0,370.0,2025-09-25,15:20:00,28,Mumbai,4.0,Cash,Delivered
58,1258,Neha Kale,Pizza Hut,Paneer Pizza,Pizza,1,330.0,330.0,2025-09-26,18:15:00,36,Pune,4.7,UPI,Delivered
59,1259,Sagar Patil,KFC,Chicken Wings,Fast Food,2,285.0,570.0,2025-09-27,19:40:00,38,Nashik,4.4,Card,Delivered
60,1260,Anjali Shah,Dominos,Peppy Paneer,Pizza,1,400.0,400.0,2025-09-28,20:00:00,29,Nagpur,4.6,UPI,Delivered
61,1261,Tejas More,Subway,Veg Sandwich,Healthy,2,225.0,450.0,2025-09-29,13:15:00,23,Thane,4.4747916666666665,Cash,Delivered
62,1262,Komal Patil,McDonalds,McVeggie,Burger,3,130.0,390.0,2025-09-30,16:20:00,21,Mumbai,4.2,UPI,Delivered
63,1263,Vikas Shah,Burger King,Whopper,Burger,1,280.0,280.0,2025-10-01,18:10:00,30,Pune,4.5,Card,Delivered
64,1264,Rutuja More,Pizza Hut,Cheese Pizza,Pizza,2,320.0,640.0,2025-10-02,19:20:00,34,Nashik,4.8,Cash,Delivered
